SampleID,longitude,latitude,Easting,Northing,class,classnum,subclass,type,Source
364,-107.0654076,38.99143145,321123.0078,4317854.825,AlpineGranite,0,,Community,MeadowPlot
365,-107.0652254,38.99151893,321139.0145,4317864.176,AlpineGranite,0,,Community,MeadowPlot
366,-107.064904,38.99163784,321167.145,4317876.742,AlpineGranite,0,,Community,MeadowPlot
367,-107.0647831,38.99166788,321177.6955,4317879.838,AlpineGranite,0,,Community,MeadowPlot
369,-107.0646465,38.99136393,321188.7643,4317845.835,AlpineGranite,0,,Community,MeadowPlot
370,-107.0645568,38.99122582,321196.1835,4317830.331,AlpineGranite,0,,Community,MeadowPlot
371,-107.0644822,38.9911201,321202.378,4317818.451,AlpineGranite,0,,Community,MeadowPlot
374,-107.0626665,38.99075527,321358.725,4317774.394,AlpineGranite,0,,Community,MeadowPlot
375,-107.062277,38.99070952,321392.3528,4317768.552,AlpineGranite,0,,Community,MeadowPlot
376,-107.0616554,38.99055934,321445.8075,4317750.665,AlpineGranite,0,,Community,MeadowPlot
379,-107.0600514,38.99086614,321585.5143,4317781.57,AlpineGranite,0,,Community,MeadowPlot
383,-107.0595904,38.99035507,321624.161,4317723.945,AlpineGranite,0,,Community,MeadowPlot
Supplemental1112,-106.915223,38.98746527,334121.7176,4317130.212,AlpineGranite,0,,Community,Supplemental
Supplemental1113,-106.913021,38.98717137,334311.7632,4317093.583,AlpineGranite,0,,Community,Supplemental
Supplemental1114,-106.913734,38.98615931,334247.6437,4316982.559,AlpineGranite,0,,Community,Supplemental
Supplemental1115,-106.91327,38.98658976,334288.8389,4317029.487,AlpineGranite,0,,Community,Supplemental
Supplemental1116,-106.913522,38.98516241,334263.6814,4316871.533,AlpineGranite,0,,Community,Supplemental
Supplemental1117,-106.917482,38.98646903,333923.7204,4317023.764,AlpineGranite,0,,Community,Supplemental
Supplemental1118,-106.917562,38.98551891,333914.5698,4316918.462,AlpineGranite,0,,Community,Supplemental
Supplemental1119,-106.9175,38.98516929,333919.123,4316879.547,AlpineGranite,0,,Community,Supplemental
Supplemental1120,-106.917638,38.98441416,333905.4041,4316795.991,AlpineGranite,0,,Community,Supplemental
Supplemental1121,-106.919193,38.98865821,333780.6384,4317269.851,AlpineGranite,0,,Community,Supplemental
Supplemental1122,-106.919124,38.98952565,333788.6445,4317365.997,AlpineGranite,0,,Community,Supplemental
Supplemental1123,-106.915366,38.9893296,334113.6848,4317337.383,AlpineGranite,0,,Community,Supplemental
Supplemental1124,-106.918302,38.98454762,333848.1999,4316812.015,AlpineGranite,0,,Community,Supplemental
Supplemental1125,-106.919433,38.98432276,333749.7056,4316789.124,AlpineGranite,0,,Community,Supplemental
Supplemental1126,-106.919869,38.9843259,333711.9461,4316790.269,AlpineGranite,0,,Community,Supplemental
Supplemental1127,-106.923131,38.985716,333432.6471,4316950.511,AlpineGranite,0,,Community,Supplemental
Supplemental1128,-106.92341,38.98577328,333408.6146,4316957.379,AlpineGranite,0,,Community,Supplemental
Supplemental1129,-106.91259,38.98488894,334343.7736,4316839.486,AlpineGranite,0,,Community,Supplemental
Supplemental1130,-106.911668,38.98598693,334426.1964,4316959.668,AlpineGranite,0,,Community,Supplemental
Supplemental1234,-106.939883,38.88828316,331751.4182,4306167.872,AlpineGranite,0,,Community,Supplemental
Supplemental1235,-106.940171,38.88862314,331727.24,4306206.135,AlpineGranite,0,,Community,Supplemental
